Name,Type,Nominal,Low tolerance,High tolerance,Meas 01,Meas 02,Meas 03,Meas 04,Meas 05,Meas 06,Meas 07,Meas 08,Meas 09,Meas 10,Meas 11,Meas 12,Meas 13,Meas 14,Mean,Standard deviation,Min value,Max value,Range,Status
GAP_F-G_6,Y,-773.4120,-0.5000,0.5000,-773.2766,-772.9960,-773.2317,-773.1456,-773.2981,-773.1718,-773.1641,-773.1008,-773.2947,-773.0778,-773.1848,-773.0986,-773.2349,-773.0511,-773.1662,0.0940,-772.9960,-773.2981,0.3021,100
GAP_F-G_6,Z,795.9760,-0.5000,0.5000,795.9399,795.8661,795.9291,795.9067,795.9452,795.9160,795.9131,795.8947,795.9465,795.8899,795.9186,795.8927,795.9304,795.8830,795.9123,0.0246,795.9465,795.8661,0.0804,100
GAP_F-G_6,Point-Profile,0.0000,-0.5000,0.5000,-0.1749,-0.5388,-0.2275,-0.3390,-0.1348,-0.2985,-0.3043,-0.3966,-0.1439,-0.4321,-0.2863,-0.4019,-0.2203,-0.4669,-0.3118,0.1243,-0.1348,-0.5388,0.4040,93
GAP_F-G_7,X,643.3370,-0.5000,0.5000,643.2414,643.0242,643.2129,643.1541,643.2746,643.1785,643.1725,643.1205,643.2643,643.0809,643.1833,643.1090,643.2231,643.0599,643.1642,0.0770,643.2746,643.0242,0.2504,100
GAP_F-G_7,Y,-776.3790,-0.5000,0.5000,-776.2661,-776.0095,-776.2261,-776.1486,-776.2963,-776.1723,-776.1736,-776.1005,-776.2968,-776.0878,-776.1847,-776.1062,-776.2254,-776.0608,-776.1682,0.0883,-776.0095,-776.2968,0.2873,100
GAP_F-G_7,Z,794.9010,-0.5000,0.5000,794.8701,794.8038,794.8590,794.8427,794.8803,794.8473,794.8477,794.8307,794.8813,794.8248,794.8505,794.8311,794.8617,794.8166,794.8463,0.0232,794.8813,794.8038,0.0775,100
GAP_F-G_7,Point-Profile,0.0000,-0.5000,0.5000,-0.1510,-0.4938,-0.2012,-0.2995,-0.1053,-0.2654,-0.2682,-0.3592,-0.1114,-0.3953,-0.2525,-0.3623,-0.1946,-0.4303,-0.2779,0.1193,-0.1053,-0.4938,0.3885,100
GAP_F-G_1_BF,Point-Profile,0.0000,-0.1500,0.1500,-0.1802,-0.1658,-0.1746,-0.1689,-0.1417,-0.1510,-0.1443,-0.1470,-0.1307,-0.1589,-0.1632,-0.1731,-0.1586,-0.1487,-0.1576,0.0143,-0.1307,-0.1802,0.0495,36
GAP_F-G_2_BF,Point-Profile,0.0000,-0.1500,0.1500,-0.0875,-0.2310,-0.1086,-0.1494,-0.1556,-0.1172,-0.1104,-0.1462,-0.2046,-0.1841,-0.1284,-0.1856,-0.1004,-0.1878,-0.1498,0.0435,-0.0875,-0.2310,0.1435,57
GAP_F-G_3_BF,Point-Profile,0.0000,-0.1500,0.1500,-0.0277,-0.2117,-0.0522,-0.1095,-0.1145,-0.0776,-0.0724,-0.1255,-0.1272,-0.1610,-0.0846,-0.1559,-0.0548,-0.1681,-0.1102,0.0521,-0.0277,-0.2117,0.1840,71
